Date,Open,High,Low,Close,Adj Close,Rendimiento,IPC,Rend-ipc,Correlacion,Volume
2019-05-17,83.510002,85.519997,83.5,84.57,82.938416,0.00344105552594,42942.230469,-0.005739071801867,-0.05096307134589,5068200
2019-05-20,83.800003,83.800003,82.739998,82.849998,81.251602,-0.020338150658677,42812.570313,-0.00301940897303,-0.042319861131935,7181900
2019-05-21,83.360001,83.800003,82.510002,83.639999,82.026352,0.009535196610646,42617.601563,-0.004554007119278,-0.046671256064764,5762500
2019-05-22,82.989998,83.339996,82.760002,83.199997,81.594841,-0.005260638678653,42491.429688,-0.00296055785339,-0.04440131448417,5237800
2019-05-23,82.5,83.059998,81.989998,82.639999,81.045647,-0.006730744165553,42207.710938,-0.006677081757033,-0.037998364472599,9704200
2019-05-24,82.199997,83.169998,82.089996,82.160004,80.574913,-0.005808257660032,42854.75,0.01532987806305,-0.0496628103076,5999000
2019-05-28,82.849998,83.190002,81.129997,81.199997,79.633415,-0.011684753541093,43345.820313,0.011458947094546,-0.065762443778336,7927300
2019-05-29,80.709999,80.860001,77.699997,78.870003,77.348381,-0.028694411761696,42749.160156,-0.013765113976192,-0.017794566646105,10116900
2019-05-30,78.919998,79.730003,78.610001,79.260002,77.730843,0.004944667167629,43108.421875,0.008403948000124,-0.013501553802682,6177800
2019-05-31,78,78.260002,77.07,77.139999,75.86232,-0.024038373030381,43241.820313,0.003094486696516,-0.021600183839342,8891100
2019-06-03,77.239998,78.580002,77.080002,77.959999,76.668747,0.010630138914813,43420.378906,0.004129303338933,-0.016887224743413,11665500
2019-06-04,79.300003,81.650002,78.779999,81.620003,80.26812,0.046947069579734,43147.828125,-0.006277024472542,-0.044915461773126,7526800
2019-06-05,82.290001,82.900002,81.93,82.720001,81.349907,0.013477168768871,43291.328125,0.003325775739726,-0.040428120975297,8173200
2019-06-06,82.720001,83.059998,82.080002,82.449997,81.084381,-0.003263998814406,43609.171875,0.007341972717544,-0.043320568452793,4953000
2019-06-07,83.089996,83.68,82.809998,83.410004,82.028488,0.01164351245402,43713.660156,0.002396016170623,-0.040683552157629,3891100
2019-06-10,83.75,84.199997,82.449997,82.580002,81.212227,-0.009950945334991,43800.160156,0.00197878648668,-0.042599438938084,4419800
2019-06-11,83.650002,84.339996,83.129997,83.260002,81.880974,0.00823456054222,43483.199219,-0.007236524612492,-0.047538503361999,3939400
2019-06-12,83.480003,84.019997,82.519997,82.629997,81.261398,-0.00756678834817,43130.648438,-0.008107747068573,-0.04042618806442,4025900
2019-06-13,83.150002,83.919998,83.050003,83.610001,82.225174,0.011860194676936,42964.710938,-0.003847322171345,-0.044227538564481,3383400
2019-06-14,83.510002,83.860001,83.040001,83.440002,82.057976,-0.002033416189548,43161.050781,0.004569793179415,-0.045514967290082,4355600
2019-06-17,83.339996,83.459999,82.010002,82.110001,80.750015,-0.015939474305337,43375.671875,0.004972564154867,-0.053174953386721,5101900
2019-06-18,82.699997,84.650002,82.5,84.300003,82.903748,0.026671611144592,43645.109375,0.006211719342964,-0.037102342279545,6456500
2019-06-19,83.730003,83.900002,83.139999,83.550003,82.166161,-0.008896907773096,43526.730469,-0.002712306320117,-0.034420039633336,6217700
2019-06-20,84.900002,85.669998,84.419998,85.239998,83.828171,0.020227426714022,43743.71875,0.004985172988229,-0.025259182856286,6163800
2019-06-21,85.160004,85.75,84.599998,85.75,84.32972,0.005983060276956,43792.171875,0.001107659028189,-0.02478211084793,9289800
2019-06-24,86,86.849998,84.370003,84.5,83.100426,-0.014577233269599,43792.078125,-2.14079357076875E-06,-0.024513263090648,8043300
2019-06-25,84.599998,84.690002,82.160004,82.620003,81.251564,-0.022248526138723,43316.558594,-0.010858574229857,-0.00121033462269,7339900
2019-06-26,83.150002,83.690002,82.440002,82.550003,81.182724,-0.000847245229643,43161.171875,-0.003587236014209,-0.000660531554984,5838500
2019-06-27,82.93,83.769997,82.93,83.660004,82.274345,0.01344646922663,43438.238281,0.006419343914072,0.006540794937101,11436700
2019-06-28,83.989998,84.75,82.669998,83.949997,82.559532,0.003466293168302,43441.800781,8.20129945637838E-05,0.006556632261452,12443800
2019-07-01,84.93,86.279999,84.900002,85.410004,83.995354,0.017391353429668,43483.230469,0.000953682565068,0.007878374426893,6587300
2019-07-02,85.360001,85.470001,84.220001,84.959999,83.552803,-0.005268755698083,43461.480469,-0.000500192827566,0.008159152397707,7187200
2019-07-03,85.330002,86.290001,85.120003,86.199997,84.772255,0.014594986119137,43405.320313,-0.001292182304744,0.006583993834885,4012800
2019-07-05,85.800003,86.910004,85.419998,86.82,85.382004,0.007192789669214,43589.078125,0.004233531988127,0.008787166979838,6440900
2019-07-08,86.059998,88.519997,85.970001,88.480003,87.014503,0.019119942417843,42818.660156,-0.017674564412459,-0.018236912143895,7052000
2019-07-09,88.099998,88.800003,87.82,88.040001,86.581802,-0.004972745750211,42805.609375,-0.000304791905035,-0.018114338472826,6219700
2019-07-10,88.480003,88.940002,87.389999,87.440002,85.991737,-0.006815115721431,42882.019531,0.001785050069737,-0.019380195165247,5985500
2019-07-11,87.709999,88.300003,87.400002,88.290001,86.827652,0.009720875855781,42647.308594,-0.005473411456994,-0.023123319076096,3942400
2019-07-12,88.18,89.309998,88.010002,89.120003,87.643898,0.009400760946524,43063.949219,0.009769447093752,-0.016267125432246,4240900
2019-07-15,89.059998,89.870003,89.059998,89.480003,87.99794,0.004039551047809,42984.96875,-0.001834027543511,-0.016651550985043,3750900
2019-07-16,89.5,89.709999,88.57,88.599998,87.132507,-0.009834696130387,42551.539063,-0.01008328491573,-0.007219533967505,5812800
2019-07-17,88.419998,88.690002,87.440002,87.5,86.050728,-0.012415331972487,41618.109375,-0.021936449504635,0.016760365192286,4461500
2019-07-18,87.629997,87.760002,86.760002,87.440002,85.991737,-0.000685537489003,41606.539063,-0.000278011475623,0.016753381944227,4607000
2019-07-19,87.730003,87.879997,86.480003,86.550003,85.11647,-0.010178501220414,41209.320313,-0.009547026956473,0.024859674491249,6635300
2019-07-22,86.559998,86.989998,85.830002,85.970001,84.546074,-0.006701358738209,40935.339844,-0.006648507350255,0.028591732584481,6810300
2019-07-23,86.639999,87.099998,86.230003,86.699997,85.263985,0.00849135821493,41167.738281,0.005677207954927,0.03201979970464,5659900
2019-07-24,86.650002,87.209999,86.309998,86.699997,85.263985,0,40933.429688,-0.005691558554922,0.03241943009734,6362900
2019-07-25,86.82,87.5,86.589996,87.279999,85.834389,0.006689858561033,40673.78125,-0.006343187951244,0.029759147687998,4546400
2019-07-26,87.440002,87.839996,86.769997,87.540001,86.090073,0.002978806082024,41276.671875,0.014822586110063,0.031439715875427,3707200
2019-07-29,87.650002,87.870003,87.18,87.620003,86.168755,0.000913949741917,41159.269531,-0.002844278345782,0.031474276857733,4387300
2019-07-30,86.82,87.910004,86.360001,87.199997,85.755707,-0.004793477635832,40863.089844,-0.00719594128795,0.034443769680602,3561200
2019-07-31,87.089996,87.269997,85.550003,86.029999,84.605087,-0.013417416056053,40346.800781,-0.012634606559881,0.047266654588694,5818200
2019-08-01,85.260002,86.769997,82.699997,83.120003,81.743286,-0.033825401066014,39977.519531,-0.009152677358595,0.067712905867927,7871800
2019-08-02,82.529999,83.239998,80.790001,81.139999,79.796089,-0.023820879919117,39496.359375,-0.012035768142816,0.086398259343882,8761400
2019-08-05,79.660004,80.050003,78.190002,78.970001,77.662025,-0.026743967364115,39785.628906,0.007323954298003,0.069534527222153,8493300
2019-08-06,79.849998,81.589996,79.489998,81.300003,79.95343,0.029504831994788,40432.359375,0.016255378808464,0.100342205061948,8664500
2019-08-07,80.5,81.82,80.089996,81.279999,79.933746,-0.000246193315284,40439.421875,0.000174674446636,0.100300365773373,6275000
2019-08-08,81.809998,83.360001,81.610001,83,81.625282,0.021161725612109,40421.28125,-0.000448587644405,0.099525164120249,6208900
2019-08-09,83.139999,83.43,81.32,81.980003,80.622177,-0.012289145904574,39851.210938,-0.014103222222824,0.109873918723378,5460200
2019-08-12,81.410004,81.949997,81.18,81.650002,80.297623,-0.004025616921756,39476.5,-0.009402749105491,0.112058422540124,3762500
2019-08-13,81.169998,84.150002,80.849998,83.32,81.93998,0.020453370082948,38650.089844,-0.020934230643547,0.083016240804082,6896800
2019-08-14,81.239998,81.690002,80.510002,81.029999,79.687904,-0.027484458746512,38574.179688,-0.001964035693226,0.083941958788608,7266100
2019-08-15,80.93,81.300003,79.440002,79.510002,78.193077,-0.018758518231324,39339.550781,0.019841539060339,0.057195699559085,6713600
2019-08-16,80.089996,80.559998,79.25,80.279999,78.950325,0.009684335609404,39556.320313,0.00551021879245,0.060448499615191,5649000
2019-08-19,82,82.339996,80.830002,81.129997,79.786232,0.010587758821765,39700.050781,0.003633565176505,0.062868129332794,7027900
2019-08-20,80.720001,81.230003,79.449997,80.529999,79.196182,-0.007395386211496,40076.039063,0.009470725467685,0.057652341777662,5903100
2019-08-21,81.940002,82.839996,81.629997,82.739998,81.369576,0.027443166389006,40144.238281,0.001701745471722,0.060441363259697,6454200
2019-08-22,83,83.720001,82.5,83.309998,81.930122,0.006888889282156,39862.070313,-0.007028853456501,0.057862808424061,5571600
2019-08-23,82.019997,82.760002,80.029999,80.440002,79.107681,-0.034449368939058,40081.71875,0.005510211468579,0.044237574932594,8497800
2019-08-26,81.440002,82.279999,80.739998,82.25,80.887688,0.02250106408757,40648.96875,0.014152337217326,0.061752427831273,4336000
2019-08-27,82.629997,83.18,82,82.029999,80.671341,-0.002674659213897,40941.960938,0.007207862757896,0.060129991720636,3842500
2019-08-28,81.900002,83.589996,81.720001,83.480003,82.097328,0.017676500505923,41831.300781,0.021721965011563,0.079224338900155,4123700
2019-08-29,84.220001,85.769997,84.169998,85.379997,83.965843,0.022759754129879,42622.5,0.018914047716139,0.099974773068826,5101900
2019-08-30,85.699997,85.989998,84.410004,84.5,83.315102,-0.007750068084233,42108.230469,-0.012065681998944,0.104720199914888,5235400
2019-09-03,84,84.830002,83.620003,84.669998,83.482719,0.002011844143214,41826.550781,-0.00668942116215,0.104101297903881,6360800
2019-09-04,85.580002,86.5,85.5,86.349998,85.139153,0.019841639321786,42324.46875,0.011904351654696,0.114973923653511,4151200
2019-09-05,87.279999,88.620003,87.279999,88.419998,87.18013,0.023972249289349,42731.480469,0.009616463738839,0.125244184201035,6328400
2019-09-06,88.400002,88.980003,88.019997,88.690002,87.44635,0.003053677483619,42707.660156,-0.00055744179089,0.125186051473905,3625300
2019-09-09,88.940002,89.349998,88.419998,88.669998,87.426636,-0.000225441084734,42662.46875,-0.001058156916931,0.125244095044324,4282400
2019-09-10,88.260002,88.629997,86.290001,86.830002,85.612427,-0.020751215910904,42588.101563,-0.001743152451767,0.126187005702715,7072400
2019-09-11,86.959999,87.25,85.870003,86.75,85.533546,-0.000921373248769,42749.171875,0.003782049588703,0.12572239146754,4623300
2019-09-12,87.099998,88.07,86.220001,87.669998,86.440643,0.010605160693326,42670.410156,-0.001842415081871,0.124646551187732,4057500
2019-09-13,88.25,88.790001,87.300003,87.32,86.095558,-0.00399216141879,42841.460938,0.004008650991979,0.123457329546546,5894700
2019-09-16,87.089996,87.82,86.669998,87.269997,86.046257,-0.00057263116873,43448.941406,0.014179732779868,0.121252270454067,4171700
2019-09-17,86.769997,87.639999,86.470001,87.589996,86.361763,0.003666702201817,43070.339844,-0.008713711997313,0.119638768490892,3248400
2019-09-18,87.650002,88.400002,87.209999,88.080002,86.844902,0.005594362403185,43017.460938,-0.001227733660601,0.119311167554792,4722200
2019-09-19,88.400002,88.720001,87.510002,87.699997,86.47023,-0.004314265908205,43559.449219,0.012599262466494,0.115065737921119,4231200
2019-09-20,88,88.489998,86.669998,86.68,85.464539,-0.011630488319506,43507.949219,-0.001182292267771,0.115556363783621,6991100
2019-09-23,86.980003,88.019997,86.800003,87.690002,86.460373,0.011652013942297,43099.328125,-0.009391872090849,0.109852936278238,4790000
2019-09-24,88.449997,88.690002,86.760002,87.18,85.95752,-0.005815993877334,43014.078125,-0.00197798907103,0.110422311144136,10202900
2019-09-25,91.779999,92.790001,90.150002,90.809998,89.536621,0.041638020733963,42984.75,-0.000681826189899,0.106494445002016,25330700
2019-09-26,91.620003,92.449997,90.25,92.169998,90.877548,0.014976296682003,42857.578125,-0.002958534712892,0.104200826670721,10408300
2019-09-27,91.849998,92.860001,91.599998,92.309998,91.015587,0.001518956035213,43011.269531,0.003586096385375,0.104195708706204,6420500
